Filename,Time (seconds),Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
mhwgo.mp3,0.00000,0.1147,0.0023,0.0015,0.1976,0.0832,0.0026,0.1373,0.0732,0.1105,0.0043,0.0163,0.9999
mhwgo.mp3,0.18576,0.0267,0.0608,0.0038,0.1643,0.0922,0.0025,0.1635,0.0228,0.0002,0.0327,0.0607,0.9999
mhwgo.mp3,0.37152,0.0221,0.0238,0.0103,0.1284,0.1245,0.0028,0.0994,0.1092,0.0018,0.0022,0.0757,0.9999
mhwgo.mp3,0.55728,0.0257,0.0214,0.0001,0.1541,0.0637,0.0087,0.1301,0.0312,0.0042,0.0371,0.0009,0.9999
mhwgo.mp3,0.74304,0.0056,0.0061,0.0342,0.0870,0.0876,0.0833,0.0344,0.0417,0.0003,0.0014,0.0166,0.9998
mhwgo.mp3,0.92880,0.0066,0.0127,0.0009,0.2196,0.1542,0.0056,0.1130,0.0659,0.0004,0.0018,0.0942,0.9996
mhwgo.mp3,1.11456,0.0051,0.0074,0.0294,0.1245,0.0880,0.0418,0.0771,0.0683,0.0000,0.0000,0.0619,0.9995
mhwgo.mp3,1.30032,0.0560,0.0054,0.0409,0.1674,0.0777,0.1261,0.1069,0.0645,0.0027,0.0218,0.0082,0.9991
mhwgo.mp3,1.48608,0.0684,0.0000,0.0273,0.3068,0.0803,0.0139,0.1952,0.0165,0.0000,0.0523,0.0157,0.9979
mhwgo.mp3,1.67184,0.0113,0.0236,0.0279,0.1628,0.0936,0.2078,0.0604,0.0459,0.0692,0.0091,0.0868,0.9966
mhwgo.mp3,1.85760,0.0158,0.0031,0.0080,0.1317,0.1720,0.0580,0.0945,0.0180,0.0025,0.0081,0.1291,0.9950
mhwgo.mp3,2.04336,0.0372,0.0098,0.4440,0.1213,0.0640,0.0432,0.3904,1.0000,0.0000,0.1746,0.1693,0.2428
mhwgo.mp3,2.22912,0.0796,0.0978,0.4166,0.3219,0.0675,0.2867,0.3889,1.0000,0.3260,0.3194,0.4520,0.3681
mhwgo.mp3,2.41488,0.0615,0.1436,0.3036,0.2580,0.2946,0.3188,0.0830,0.6665,0.3776,1.0000,0.2798,0.6276
mhwgo.mp3,2.60063,0.1150,0.0282,0.2614,0.1028,1.0000,0.0713,0.1326,0.0175,0.2178,0.4527,0.1680,0.1069
mhwgo.mp3,2.78639,0.0211,0.1044,0.0875,0.0483,1.0000,0.2345,0.0357,0.0000,0.1199,0.2430,0.1171,0.1213
mhwgo.mp3,2.97215,0.0595,0.0419,0.1816,0.0475,0.9671,0.0862,0.1662,0.0182,0.0483,0.2316,0.0492,1.0000
mhwgo.mp3,3.15791,0.1398,0.1021,0.0745,0.1327,0.5972,0.0863,0.2935,0.0338,0.0583,0.0594,0.1400,1.0000
mhwgo.mp3,3.34367,0.0946,0.0771,0.0547,0.0326,1.0000,0.1177,0.1203,0.1656,0.0950,0.0574,0.0730,0.8199
mhwgo.mp3,3.52943,0.0696,0.1319,0.1296,0.0250,1.0000,0.2101,0.1008,0.1120,0.1087,0.0702,0.1428,0.8045
mhwgo.mp3,3.71519,0.1291,0.2401,0.0928,0.1326,1.0000,0.2552,0.1482,0.6537,0.2420,0.1355,0.1443,0.4130
mhwgo.mp3,3.90095,0.2238,0.0758,0.1746,0.3071,0.3256,0.1134,0.1109,1.0000,0.2042,0.0681,0.0000,0.9763
mhwgo.mp3,4.08671,0.3772,0.3422,0.0025,0.4756,0.3362,0.2240,0.3138,0.5562,0.0693,0.3066,0.0000,1.0000
mhwgo.mp3,4.27247,0.4408,0.0664,0.0866,0.4267,0.2331,0.2228,0.2291,0.4794,0.2636,0.2809,0.0000,1.0000
mhwgo.mp3,4.45823,0.8487,0.5961,0.1224,0.5993,0.5776,0.3305,0.9177,0.6976,0.1516,0.8044,0.0411,1.0000
mhwgo.mp3,4.64399,0.5150,0.0532,0.2633,0.2461,0.3044,0.3232,0.2992,0.0924,0.2534,1.0000,0.4712,0.3777
mhwgo.mp3,4.82975,0.3709,0.0971,0.3073,0.3380,0.4038,0.4349,0.2046,0.1377,0.3663,1.0000,0.1321,0.9589
mhwgo.mp3,5.01551,0.1311,0.1871,0.4233,0.4883,0.1028,0.1073,0.3846,1.0000,0.3126,0.2899,0.7911,0.6221
mhwgo.mp3,5.20127,0.1087,0.1549,0.6982,0.3587,0.0389,0.0025,0.7677,1.0000,0.4990,0.3743,0.1562,0.5123
mhwgo.mp3,5.38703,0.0927,0.0100,1.0000,0.2645,0.2417,0.0622,0.0994,0.1797,0.0482,0.3494,0.1983,0.1402
mhwgo.mp3,5.57279,0.1204,0.0992,1.0000,0.2619,0.1947,0.0377,0.3344,0.0869,0.0480,0.4476,0.1210,0.1135
mhwgo.mp3,5.75855,0.0120,0.0296,0.9414,0.2352,0.0108,0.1016,1.0000,0.0000,0.0607,0.1983,0.1255,0.2681
mhwgo.mp3,5.94431,0.0382,0.2432,0.4953,0.2363,0.1808,0.0926,1.0000,0.0384,0.1118,0.4358,0.4366,0.1471
mhwgo.mp3,6.13007,0.0150,0.0328,0.5877,0.0074,0.2828,0.1381,0.6407,0.0633,0.0803,1.0000,0.1068,0.0911
mhwgo.mp3,6.31583,0.0099,0.0626,0.8817,0.1679,0.2508,0.1204,0.0852,0.1394,0.0161,1.0000,0.1668,0.1322
mhwgo.mp3,6.50159,0.0021,0.0479,1.0000,0.2836,0.2320,0.0693,0.1515,0.2116,0.0183,0.9774,0.2166,0.1759
mhwgo.mp3,6.68735,0.0561,0.0951,1.0000,0.0986,0.1008,0.1599,0.5229,0.1727,0.1647,0.2331,0.0715,0.1798
mhwgo.mp3,6.87311,0.0055,0.3110,0.7223,0.1965,0.0000,0.3085,1.0000,0.1836,0.1471,0.2127,0.1224,0.2465
mhwgo.mp3,7.05887,0.1530,0.2361,1.0000,0.1156,0.1098,0.5546,0.8277,0.0288,0.2143,0.3762,0.3865,0.0406
mhwgo.mp3,7.24463,1.0000,0.1363,0.3664,0.2887,0.1019,0.1105,0.5737,0.3032,0.0342,0.1709,0.0984,0.1390
mhwgo.mp3,7.43039,1.0000,0.0892,0.4792,0.2904,0.3670,0.0990,0.3640,0.3600,0.1083,0.1611,0.3502,0.0191
mhwgo.mp3,7.61615,0.7668,0.6852,0.5542,0.0128,0.1517,0.7679,0.3754,0.2252,0.1459,0.7131,0.0390,1.0000
mhwgo.mp3,7.80190,0.6608,0.3760,0.0976,0.4938,0.1366,0.2630,0.4792,0.2312,0.0201,0.5487,0.0000,1.0000
mhwgo.mp3,7.98766,1.0000,0.0000,0.0769,0.2137,0.1474,0.1673,0.0481,0.2463,0.2326,0.1689,0.1319,0.1206
mhwgo.mp3,8.17342,1.0000,0.0000,0.0667,0.2246,0.1226,0.1426,0.0546,0.3561,0.2346,0.0561,0.1677,0.1291
mhwgo.mp3,8.35918,1.0000,0.0014,0.1052,0.1862,0.0687,0.2073,0.0484,0.7777,0.1442,0.0954,0.0371,0.3423
mhwgo.mp3,8.54494,0.6371,0.0000,0.0792,0.2234,0.0160,0.1741,0.0381,1.0000,0.1106,0.0456,0.0000,0.4007
mhwgo.mp3,8.73070,1.0000,0.0019,0.1764,0.0134,0.6548,0.1699,0.0412,0.6721,0.1895,0.0000,0.0615,0.1309
mhwgo.mp3,8.91646,1.0000,0.0109,0.1690,0.1072,0.7296,0.2618,0.1191,0.6317,0.1820,0.0865,0.0197,0.2222
mhwgo.mp3,9.10222,1.0000,0.0000,0.1284,0.0459,0.2821,0.1771,0.0848,0.5903,0.1433,0.0515,0.0927,0.0812
mhwgo.mp3,9.28798,1.0000,0.0565,0.2125,0.2127,0.5056,0.0986,0.1089,0.7871,0.1890,0.0048,0.1315,0.1440
mhwgo.mp3,9.47374,1.0000,0.1116,0.2544,0.0891,0.7793,0.0401,0.1787,0.4216,0.2853,0.0575,0.1786,0.0451
mhwgo.mp3,9.65950,1.0000,0.3839,0.2462,0.1675,0.5130,0.4351,0.2474,0.5586,0.1802,0.0838,0.5307,0.0645
mhwgo.mp3,9.84526,0.9911,0.3271,0.1784,0.1384,1.0000,0.0000,0.2953,0.7492,0.1731,0.0530,0.5463,0.0757
mhwgo.mp3,10.03102,1.0000,0.0558,0.1724,0.0312,0.0360,0.1501,0.0826,0.3164,0.0240,0.0201,0.0806,0.1184
mhwgo.mp3,10.21678,1.0000,0.0190,0.2414,0.0019,0.0569,0.0648,0.2222,0.3218,0.0316,0.0000,0.1220,0.1528
mhwgo.mp3,10.40254,1.0000,0.1213,0.0387,0.0073,0.0565,0.1346,0.0363,0.2339,0.0501,0.0486,0.0431,0.0491
mhwgo.mp3,10.58830,1.0000,0.1564,0.8353,0.2698,0.2252,0.0000,0.3232,0.2628,0.0327,0.0808,0.1298,0.1459
mhwgo.mp3,10.77406,0.4932,0.0238,1.0000,0.2609,0.1830,0.0025,0.1391,0.0379,0.0401,0.2120,0.0232,0.1153
